date,total_value,cash,position_value,equity_ratio,macro_score,regime,choppy_mode,positions,总资产,现金,持仓市值,权益仓位,市场状态,震荡市,持仓明细
2023-12-29,488384.87271999964,413340.57271999965,75044.29999999999,0.15365811717723762,3.6504155521330928,neutral,False,"{""159601"": 0.07499003766440825, ""510300"": 0.07459997644293954}",488384.87271999964,413340.57271999965,75044.29999999999,0.15365811717723762,中性,False,"{""159601"": 0.07499003766440825, ""510300"": 0.07459997644293954}"
2024-01-02,487238.6727199997,413340.57271999965,73898.10000000003,0.15166714823243696,2.499210209475918,neutral,False,"{""159601"": 0.0751664472681269, ""510300"": 0.07477546845083283}",487238.6727199997,413340.57271999965,73898.10000000003,0.15166714823243696,中性,False,"{""159601"": 0.0751664472681269, ""510300"": 0.07477546845083283}"
2024-01-03,486913.6727199997,413340.57271999965,73573.10000000003,0.1511009119727643,4.80113048372539,neutral,False,"{""159601"": 0.07521661857513842, ""510300"": 0.07482537879142928}",486913.6727199997,413340.57271999965,73573.10000000003,0.1511009119727643,中性,False,"{""159601"": 0.07521661857513842, ""510300"": 0.07482537879142928}"
2024-01-04,486164.2461999996,335218.7461999996,150945.5,0.3104825193951092,1.9724524971337458,neutral,False,"{""159601"": 0.07533256566327899, ""510300"": 0.07494072277995509, ""510500"": 0.05376948264773491, ""159915"": 0.05339594633481302, ""512890"": 0.053316137915532344}",486164.2461999996,335218.7461999996,150945.5,0.3104825193951092,中性,False,"{""159601"": 0.07533256566327899, ""510300"": 0.07494072277995509, ""510500"": 0.05376948264773491, ""159915"": 0.05339594633481302, ""512890"": 0.053316137915532344}"
2024-01-05,485113.1532399996,386531.1532399996,98582.0,0.20321444459212307,-2.9595181220284106,neutral,False,"{""159601"": 0.07549578846789388, ""510300"": 0.0751030965799752, ""512890"": 0.05343165780371331}",485113.1532399996,386531.1532399996,98582.0,0.20321444459212307,中性,False,"{""159601"": 0.07549578846789388, ""510300"": 0.0751030965799752, ""512890"": 0.05343165780371331}"
2024-01-08,483698.3671099996,395527.1671099996,88171.20000000001,0.182285502692112,-8.350818105846473,bearish,False,"{""512890"": 0.1828519714226911}",483698.3671099996,395527.1671099996,88171.20000000001,0.182285502692112,偏空,False,"{""512890"": 0.1828519714226911}"
2024-01-09,484357.76710999955,395527.1671099996,88830.59999999998,0.18339873133453066,-8.400324848553744,bearish,False,"{""512890"": 0.18260303850957704}",484357.76710999955,395527.1671099996,88830.59999999998,0.18339873133453066,偏空,False,"{""512890"": 0.18260303850957704}"
2024-01-10,483886.76710999955,395527.1671099996,88359.59999999998,0.18260387761319713,-8.536354526919991,bearish,False,"{""512890"": 0.18278077850369112}",483886.76710999955,395527.1671099996,88359.59999999998,0.18260387761319713,偏空,False,"{""512890"": 0.18278077850369112}"
2024-01-11,482974.2694099996,379345.2694099996,103629.0,0.21456422539153686,-4.277179727346092,neutral,False,"{""512890"": 0.07212291659702758, ""510300"": 0.07165599120275509, ""159601"": 0.07146964587195737}",482974.2694099996,379345.2694099996,103629.0,0.21456422539153686,中性,False,"{""512890"": 0.07212291659702758, ""510300"": 0.07165599120275509, ""159601"": 0.07146964587195737}"
2024-01-12,482800.1694099996,379345.2694099996,103454.90000000002,0.21428099357634006,-4.322532039768346,neutral,False,"{""512890"": 0.07214892445819897, ""510300"": 0.07168183068844468, ""159601"": 0.07149541816064879}",482800.1694099996,379345.2694099996,103454.90000000002,0.21428099357634006,中性,False,"{""512890"": 0.07214892445819897, ""510300"": 0.07168183068844468, ""159601"": 0.07149541816064879}"
2024-01-15,482914.0694099996,379345.2694099996,103568.79999999999,0.21446631307829817,-1.8273048766632216,neutral,False,"{""512890"": 0.07213190742967084, ""510300"": 0.07166492382854435, ""159601"": 0.07147855526796387}",482914.0694099996,379345.2694099996,103568.79999999999,0.21446631307829817,中性,False,"{""512890"": 0.07213190742967084, ""510300"": 0.07166492382854435, ""159601"": 0.07147855526796387}"
2024-01-16,483533.8344499996,349587.4344499996,133946.40000000002,0.27701556841903047,-0.4869828472662742,neutral,False,"{""512890"": 0.07203945302150253, ""510300"": 0.07157306797230686, ""159601"": 0.07138693828791287, ""159915"": 0.06146250351602469}",483533.8344499996,349587.4344499996,133946.40000000002,0.27701556841903047,中性,False,"{""512890"": 0.07203945302150253, ""510300"": 0.07157306797230686, ""159601"": 0.07138693828791287, ""159915"": 0.06146250351602469}"
2024-01-17,480552.27572999964,378364.3757299996,102187.90000000002,0.21264679236981646,-4.552343554375027,neutral,False,"{""512890"": 0.07248641762907619, ""510300"": 0.07201713892089578, ""159601"": 0.07182985440567154}",480552.27572999964,378364.3757299996,102187.90000000002,0.21264679236981646,中性,False,"{""512890"": 0.07248641762907619, ""510300"": 0.07201713892089578, ""159601"": 0.07182985440567154}"
2024-01-18,480718.6172099996,411981.0172099996,68737.59999999998,0.14298926136653511,-3.0167561819647326,neutral,False,"{""512890"": 0.07246133539269789, ""159601"": 0.07180499935770322}",480718.6172099996,411981.0172099996,68737.59999999998,0.14298926136653511,中性,False,"{""512890"": 0.07246133539269789, ""159601"": 0.07180499935770322}"
2024-01-19,480443.7172099996,411981.0172099996,68462.70000000001,0.1424988974724698,-3.8815368050505197,neutral,False,"{""512890"": 0.07250279627643079, ""159601"": 0.07184608469947448}",480443.7172099996,411981.0172099996,68462.70000000001,0.1424988974724698,中性,False,"{""512890"": 0.07250279627643079, ""159601"": 0.07184608469947448}"
2024-01-22,479122.0454399996,388132.2454399996,90989.79999999999,0.18990944137508828,-7.375146025850629,bearish,False,"{""159601"": 0.19111017927783222}",479122.0454399996,388132.2454399996,90989.79999999999,0.18990944137508828,偏空,False,"{""159601"": 0.19111017927783222}"
2024-01-23,479402.44543999963,388132.2454399996,91270.20000000001,0.1903832591346743,-4.997462366298671,neutral,False,"{""159601"": 0.19099839992672707}",479402.44543999963,388132.2454399996,91270.20000000001,0.1903832591346743,中性,False,"{""159601"": 0.19099839992672707}"
2024-01-24,480184.4519599996,357862.4519599996,122322.0,0.254739609957612,0.591935509890955,neutral,False,"{""159601"": 0.0632450906670986, ""512890"": 0.06376195621292316, ""512000"": 0.06375216830750303, ""510300"": 0.063506221152159}",480184.4519599996,357862.4519599996,122322.0,0.254739609957612,中性,False,"{""159601"": 0.0632450906670986, ""512890"": 0.06376195621292316, ""512000"": 0.06375216830750303, ""510300"": 0.063506221152159}"
2024-01-25,482406.65195999964,357862.4519599996,124544.20000000001,0.25817264230080933,3.3260291991255966,neutral,False,"{""159601"": 0.06295375297532049, ""512890"": 0.06346823758669637, ""512000"": 0.0634584947691359, ""510300"": 0.06321368056618044}",482406.65195999964,357862.4519599996,124544.20000000001,0.25817264230080933,中性,False,"{""159601"": 0.06295375297532049, ""512890"": 0.06346823758669637, ""512000"": 0.0634584947691359, ""510300"": 0.06321368056618044}"
