,0
2024-03-19,0.9658296550999993
2024-03-20,0.9658752550999993
2024-03-21,0.9658752550999993
2024-03-22,0.9655560550999992
2024-03-25,0.9655560550999992
2024-03-26,0.9655551414799992
2024-03-27,0.9595711750999992
2024-03-28,0.9610891750999991
2024-03-29,0.9608020308399994
2024-04-01,0.9648919515999993
2024-04-02,0.9643066324399991
2024-04-03,0.9632460324399992
2024-04-08,0.9601772324399992
2024-04-09,0.9614836324399991
2024-04-10,0.9585782324399993
2024-04-11,0.9583113886599992
2024-04-12,0.9563483886599993
2024-04-15,0.9628503561599993
2024-04-16,0.9557980181599993
2024-04-17,0.9617248011199995
2024-04-18,0.9613191017399993
2024-04-19,0.9590825659599993
2024-04-22,0.9543257702199992
2024-04-23,0.9510745702199992
2024-04-24,0.9510581702199993
2024-04-25,0.9529317702199992
2024-04-26,0.9524098149799993
2024-04-29,0.9544708149799993
2024-04-30,0.9537312149799992
2024-05-06,0.9553474149799993
2024-05-07,0.9552718149799994
2024-05-08,0.9540676149799993
2024-05-09,0.9552126149799992
2024-05-10,0.9548094149799993
2024-05-13,0.9538586749399993
2024-05-14,0.9534945638999992
2024-05-15,0.9500797850199993
2024-05-16,0.9501200134599993
2024-05-17,0.9541853640599994
2024-05-20,0.9545635640599994
2024-05-21,0.9536563640599994
2024-05-22,0.9545719640599994
2024-05-23,0.9527061640599994
2024-05-24,0.9506020016599995
2024-05-27,0.9550380150799994
2024-05-28,0.9523897394399995
2024-05-29,0.9532433317999994
2024-05-30,0.9515295317999994
2024-05-31,0.9514909317999994
2024-06-03,0.9495005317999994
2024-06-04,0.9508381903199995
2024-06-05,0.9497094365199994
2024-06-06,0.9478152365199993
2024-06-07,0.9452374365199994
2024-06-11,0.9489750365199994
2024-06-12,0.9486538365199995
2024-06-13,0.9494826365199994
2024-06-14,0.9505317894399994
2024-06-17,0.9516839894399994
2024-06-18,0.9528801894399994
2024-06-19,0.9505841894399994
2024-06-20,0.9475038337199992
2024-06-21,0.9478791635199993
2024-06-24,0.9424369079599992
2024-06-25,0.9377071079599993
2024-06-26,0.9407022644799994
2024-06-27,0.9371588878599995
2024-06-28,0.9323854878599994
2024-07-01,0.9305490728599993
2024-07-02,0.9308744728599994
2024-07-03,0.9287642728599993
2024-07-04,0.9278504728599994
2024-07-05,0.9263696728599994
2024-07-08,0.9252142728599994
2024-07-09,0.9277118078799993
2024-07-10,0.9274842839199994
2024-07-11,0.9301498487199994
2024-07-12,0.9301498487199994
2024-07-15,0.9298958487199994
2024-07-16,0.9300968189799995
2024-07-17,0.9284878189799995
2024-07-18,0.9296104189799996
2024-07-19,0.9321914189799996
2024-07-22,0.9319192189799995
2024-07-23,0.9254204601799996
2024-07-24,0.9232862601799996
2024-07-25,0.9223031518199997
2024-07-26,0.9257067518199996
2024-07-29,0.9239033518199997
2024-07-30,0.9241467980599997
2024-07-31,0.9351619980599998
2024-08-01,0.9334785980599998
2024-08-02,0.9295221980599997
2024-08-05,0.9241561980599997
2024-08-06,0.9264205607199997
2024-08-07,0.9250775850199997
2024-08-08,0.9255021850199997
2024-08-09,0.9239635850199996
2024-08-12,0.9236731850199997
2024-08-13,0.9245597850199997
2024-08-14,0.9225896970999997
2024-08-15,0.9240435235999997
2024-08-16,0.9231749235999998
2024-08-19,0.9240705867399998
2024-08-20,0.9210833867399998
2024-08-21,0.9196069867399999
2024-08-22,0.9175306089199998
2024-08-23,0.9181024089199998
2024-08-26,0.9182272089199998
2024-08-27,0.9171777133999998
